標題,地點,時間,主辦單位,名額
知識挑戰賽：校園博學王,大禮堂,上午 09:00:00,學生會,0
STEAM 創意實作週,101教室,上午 10:00:00,資訊系,50
AI 時代的未來講座,操場,上午 11:00:00,體育組,200
期末衝刺讀書會,圖書館,下午 01:00:00,文學社,30
語言文化交流夜,會議室,下午 02:00:00,音樂社,80
靈感之夜：校園才藝發表會,大禮堂,下午 03:00:00,學生會,60
無聲影展：學生短片放映會,101教室,上午 09:00:00,資訊系,100
塗鴉解放日：校園牆面創作活動,操場,上午 10:00:00,體育組,50
攝影徵件展：青春校園的一瞬,圖書館,上午 11:00:00,文學社,200
文學之聲：詩歌朗讀會,會議室,下午 01:00:00,音樂社,30
健康動一動：校園晨跑挑戰,大禮堂,下午 02:00:00,學生會,80
趣味運動會：跑出青春節奏,101教室,下午 03:00:00,資訊系,60
瑜珈慢活日：身心放鬆體驗營,操場,上午 09:00:00,體育組,100
三對三籃球盃,圖書館,上午 10:00:00,文學社,50
校園健走馬拉松,會議室,上午 11:00:00,音樂社,200
迷你創客市集,大禮堂,下午 01:00:00,學生會,30
開發者日：學生專題成果展,101教室,下午 02:00:00,資訊系,80
App 開發實戰營,操場,下午 03:00:00,體育組,60
桌遊設計競賽,圖書館,上午 09:00:00,文學社,100
校園 Hackathon 創意馬拉松,會議室,上午 10:00:00,音樂社,50
志工招募說明會,大禮堂,上午 11:00:00,學生會,200
校園義賣市集,101教室,下午 01:00:00,資訊系,30
讓愛發聲：關懷長者手作卡片活動,操場,下午 02:00:00,體育組,80
永續生活體驗週,圖書館,下午 03:00:00,文學社,60
校園愛心捐血日,會議室,上午 09:00:00,音樂社,100
期中放鬆祭：音樂 X 美食 X 遊戲,大禮堂,上午 10:00:00,學生會,50
聖誕歡樂趴：交換禮物派對,101教室,上午 11:00:00,資訊系,200
萬聖搞鬼夜：變裝走秀與闖關遊戲,操場,下午 01:00:00,體育組,30
開學迎新嘉年華,圖書館,下午 02:00:00,文學社,80
期末 Chill Day：戶外電影夜,會議室,下午 03:00:00,音樂社,60
